emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,gesture
27,11,100,34,74,69,20,23,0
31,30,84,100,23,25,7,11,0
1,73,100,81,0,3,2,6,0
0,100,47,32,4,7,0,2,0
0,2,84,100,52,28,18,13,0
25,62,100,95,8,4,3,4,0
5,70,1,100,15,20,0,0,0
9,88,22,3,100,7,7,7,0
27,29,100,11,30,29,3,11,0
30,27,72,100,50,27,15,22,0
44,100,78,0,35,10,0,8,0
0,100,41,60,4,0,0,1,0
74,87,87,100,96,38,9,32,0
24,100,25,18,31,3,0,1,0
62,2,54,100,31,5,6,14,0
5,71,100,24,53,4,7,0,0
56,4,16,100,38,6,2,20,0
57,76,100,78,28,35,15,23,0
53,14,100,83,1,14,3,10,0
13,69,32,100,21,17,9,10,0
13,26,100,10,12,23,5,7,0
0,21,100,5,40,20,1,1,0
7,32,100,5,5,2,3,1,0
3,100,17,20,5,1,0,0,0
31,83,100,48,9,0,3,9,0
43,74,21,100,36,14,3,12,0
18,50,100,48,2,7,3,3,0
36,44,100,86,41,24,16,22,0
27,27,100,59,0,16,16,16,0
20,22,86,100,55,10,6,4,0
9,2,100,28,9,0,5,9,0
15,44,26,100,5,5,1,4,0
7,100,63,72,5,4,1,3,0
1,34,100,2,1,7,2,1,0
26,100,84,48,0,2,0,1,0
26,88,100,60,13,13,13,6,0
7,100,20,92,40,9,11,7,0
15,38,100,73,20,0,1,0,0
15,8,18,100,2,8,7,10,0
5,40,100,16,16,10,3,1,0
22,100,56,61,36,15,9,13,0
31,20,52,100,23,1,2,0,0
2,87,100,35,16,18,0,0,0
22,100,28,92,10,19,1,2,0
13,24,100,21,1,10,6,5,0
1,43,100,41,2,5,5,5,0
27,20,100,15,0,7,3,11,0
5,22,100,56,16,2,0,0,0
20,40,100,81,20,2,2,2,0
8,55,38,59,100,25,11,8,0
31,100,83,79,18,1,7,9,0
8,52,68,100,4,1,2,1,0
12,100,74,43,7,0,1,0,0
2,100,57,4,11,5,0,0,0
2,100,63,2,13,8,8,7,0
6,100,9,60,24,16,12,9,0
2,31,100,62,9,28,3,3,0
16,77,100,16,8,16,1,1,0
19,29,100,68,34,14,4,14,0
13,6,17,21,8,5,16,100,0
13,96,100,56,6,0,1,6,0
12,17,100,24,0,7,9,13,0
11,100,8,11,3,0,3,7,0
3,58,100,98,5,5,2,5,0
3,100,75,83,22,1,3,1,0
22,53,100,50,52,0,0,9,0
46,100,6,64,20,11,7,16,0
26,42,91,94,100,18,18,20,0
57,64,84,100,28,4,22,29,0
18,100,39,21,16,9,0,3,0
21,100,41,33,37,31,6,3,0
11,100,71,16,27,16,7,5,0
26,100,100,42,20,4,8,12,0
25,77,100,44,42,0,1,9,0
9,6,100,38,37,19,3,4,0
0,85,100,0,14,7,1,1,0
7,100,82,39,1,28,8,8,0
12,20,69,100,14,12,1,5,0
21,100,15,71,26,5,21,23,0
42,100,18,21,11,14,11,17,0
5,100,52,67,15,1,2,1,0
1,100,41,29,13,18,3,6,0
26,100,4,0,0,2,1,4,0
9,7,100,63,19,42,9,11,0
7,100,32,12,38,21,7,2,0
